"Active","Aktif"
"Add Attribute Mapping","Özellik Eşleşmesi Ekle"
"Add New Attribute","Özellik Ekle"
"Add to Google Base","Google Base'e Ekle"
"Are you sure?","Emin misiniz ?"
"Attribute","Özellik"
"Attribute Set","Özellik Seti"
"Attribute Set and Item Type","Özellik Seti ve Ürün Tipi"
"Attributes","Özellikler"
"Attributes Mapping","Özellik Eşleştirme"
"Attributes Set","Özellik Seti"
"AuthSub","AuthSub"
"Available Products","Ürünler"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Sistem ayarlarında ana para birimi %s olarak ayarlanmalıdır ( %s için ). Eğer ayarlamazsanız Google Base deki fiyatlarınız yanlış görünür."
"Cannot update Google Base Item for Store '%s'","'%s' Mağazası için Google Base kaydı güncellenemedi"
"Captcha confirmation error: %s","Grafik onayı hatası : %s"
"Captcha has been confirmed.","Resim onayı tamamlandı."
"Catalog","Katalog"
"Clicks","Tıklamalar"
"ClientLogin","İstemciGirişi"
"Confirm","Onayla"
"Current Mapping will be reloaded. Continue?","Varolan eşleşme yeniden yüklenecek. Devam edilsin mi ?"
"Custom attribute, no mapping","Özel özellik, eşleşme yok"
"Delete","Sil"
"Delete Mapping","Eşleşme Sil"
"Edit Item Type","Ürün Tipini Düzelt"
"Edit Item Type ""%s""","Ürün Tipini Düzelt ""%s"""
"Error: %s","Hata : %s"
"Expires","Bitiş"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base Özelliği"
"Google Base ID","Google Base No"
"Google Base Item Type","Google Base Ürün Tipi"
"Google Base Item type","Google Base Ürün Tipi"
"Google Base Items","Google Base Ürünleri"
"Google base","Google base"
"Hide","Gizle"
"Hosted","Barındırılan"
"Hosted or Google","Barındırılan veya Google"
"Impr.","Gör."
"Invalid Product Model for Google Base Item","Google Base Ürünü için Hatalı Ürün Modeli"
"Item Type was deleted","Ürün Tipi Silindi"
"Item Types","Ürün Tipleri"
"Item model is not specified to delete Google Base entry.","Ürün modeli Google Base kaydını silmek üzere yapılandırılmadı."
"Items","Ürünler"
"Manage Attribute Mapping","Özellik Eşleşmelerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Items","Ürünleri Yönet"
"New Item Type","Yeni Ürün Tipi"
"New ItemType","Yeni Ürün Tipi"
"No","Hayır"
"No items were deleted from Google Base","Google Base'den ürün silinemedi"
"No items were published","Hiç ürün yayınlanmadı"
"No items were saved as inactive items","Hiç bir ürün pasif olarak işaretlenmedi"
"No products were added to Google Base","Google Base'e hiç ürün eklenmedi"
"Object model is not specified to save Google Base entry.","Google Base kaydını güncellemek için nesne modeli belirlenmedi."
"Please, select Attribute Set and Google Item Type to load attributes","Özellikleri yüklemek için Özellik Seti ve Google Ürün Tipi seçiniz"
"Product Name","Ürün Adı"
"Publish","Yayınla"
"Published","Yayınlandı"
"Remove","Sil"
"Save Mapping","Eşleşmeyi Kaydet"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Veri çıkarılırken oturum zaman aşımına uğradı. Lütfen veri çıkarma işlemini gözden geçirerek tekrar deneyiniz."
"Synchronize","Eşitle"
"Target Country","Hedef Ülke"
"The item type has been saved.","Ürün tipi kaydedildi."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Bu işlem sonucunda ürün istatistikleri güncellenir, Google Base'de kaydı olmayan ürünler silinecek. Devam edilsin mi ?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","%d adet ürün silindi; %d adet ürün güncellendi."
"Total of %d items(s) have been published.","%d adet ürün yayınlandı."
"Total of %d items(s) have been removed from Google Base.","%d adet ürün Google Base'den silindi."
"Total of %d items(s) have been saved as inactive items.","%d adet ürün Google Base'de pasifleştirildi."
"Total of %d product(s) have been added to Google Base.","%d adet ürün Google Base'e eklendi."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Google Base'e bağlanılamadı. GoogleBase ayarlarını kontrol ediniz."
"Unable to select a Store View.","Mağaza Görünümü seçilemedi."
"View Available Products","Varolan Ürünleri Göster"
"View Item in Google Base","Google Base'deki Ürünleri Göster"
"Yes","Evet"
