"3D Secure","3D 安全"
"3D Secure Card Validation","3D 安全信用卡驗證"
"API Login ID","API 登錄 ID"
"Accepted Currency","接受的匯率"
"Allow Partial Authorization","允許部分身份驗證"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","您是否確定要取消支付？單擊確定可取消您的支付，並釋放佔用的額度。單擊取消可輸入其他信用卡，並繼續進行支付。"
"Authorize Only","僅供授權"
"Authorize and Capture","授權和捕獲"
"Authorize.Net Transaction ID %s","Authorize.Net 交易 ID %s"
"Authorize.net","Authorize.net"
"Cancel","取消"
"Centinel API URL","Centinel API URL"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡驗證"
"Credit Card: xxxx-%s","信用卡：xxxx-%s"
"Debug","偵錯"
"Email Customer","發送電子郵件給客戶"
"Enabled","已啟用"
"Error in payment gateway.","支付網關出錯。"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","網關操作被鎖定，因為網關無法完成一個或多個交易。請登錄到您的 Authorize.Net 帳戶並手工解決該問題。"
"Gateway error: %s","網關錯誤：%s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","如果為空，則會使用預設值。自定URL可通過 CardinalCommerce 協議提供。"
"Invalid amount for authorization.","授權的額度無效。"
"Invalid amount for capture.","獲取的額度無效。"
"Invalid amount for partial authorization.","部分身份驗證無效。"
"Invalid amount for refund.","退款額度無效。"
"Invalid split tenderId ID.","拆分的 tenderId ID 無效。"
"Maximum Order Total","最大訂單總數"
"Merchant's Email","商家電子郵件"
"Minimum Order Total","最小訂單總數"
"New Order Status","新訂單狀態"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","支付操作"
"Payment authorization error.","支付授權錯誤。"
"Payment canceling error.","取消支付過程出錯。"
"Payment capturing error.","支付捕獲出錯。"
"Payment from Applicable Countries","從可接受的國家支付"
"Payment from Specific Countries","從指定的國家支付"
"Payment partial authorization error.","支付的部分身份驗證出錯。"
"Payment refunding error.","支付的退款出錯。"
"Payment updating error.","支付更新錯誤。"
"Payment voiding error.","支付的作廢出錯。"
"Processed Amount","處理的額度"
"Remaining Balance","剩下的餘額"
"Severe 3D Secure Card Validation","提供 3D 安全信用卡驗證"
"Severe Validation Removes Chargeback Liability on Merchant","正式驗證將撤銷銀行的退款責任"
"Shopping cart contents and/or address has been changed.","購物車內容和/或地址已被更改。"
"Sort Order","排序順序"
"Test Mode","測試模式"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","您信用卡的餘額不足以完成本次購買。可用餘額已經被暫掛。為完成您的購買，請點擊確定並提供另一個信用卡號碼。要取消購買並退回暫掛的餘額，請點擊取消。"
"There was an error canceling transactions. Please contact us or try again later.","取消交易時發生錯誤。請聯繫我們或稍候重試。"
"Title","標題"
"Transaction Key","交易密鑰"
"You have reached the maximum number of credit card allowed to be used for the payment.","您已經達到了可用于交易的信用卡數量最大值。"
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","您已經達到了一次支付可使用信用卡數量的最大值。所有用過卡片的可用額度都不足以完成支付。付款已被取消，暫掛的額度已經被返還。"
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","您的信用卡被拒絕。點擊確定以指定另一張可完成此次交易的信用卡。點擊取消以返還被暫掛的額度，並選擇其他支付方式。"
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","您的訂單建立不成功，因為購物車的內容和/或地址已經有變動。您的上次支付中通過預授權被暫掛的額度已經返還。請為購物車中的新內容重新執行付款流程。"
"Your payment has been cancelled. All authorized amounts have been released.","您的付款已被取消。所有授權的額度已經被返還。"
"amount %s","額度 %s"
"authorize","授權"
"authorize and capture","授權和獲取"
"capture","獲取"
"failed","失敗"
"refund","退款"
"successful","成功"
"void","避免"
