"Action","İşlem"
"Add Sitemap","Site Haritası Ekle"
"Always","Daima"
"CMS Pages Options","CMS Sayfa Ayarları"
"Categories Options","Kategori Seçenekleri"
"Daily","Günde Bir"
"Edit Sitemap","Site Haritası Düzenle"
"Enabled","Aktif"
"Error Email Recipient","Hata Mesajı Alıcısı"
"Error Email Sender","Hata Mesajı Göndericisi"
"Error Email Template","Hata Mesajı Şablonu"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s"" adlı dosya kaydedilemedi. ""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Filename","Dosya Adı"
"Frequency","Aralık"
"Generate","Üret"
"Generation Settings","Üretme Ayarları"
"Google Sitemap","Google Site Haritası"
"Hourly","Saatte Bir"
"ID","No"
"Last Time Generated","Son Üretilme Tarihi"
"Link for Google","Google Bağlantısı"
"Monthly","Ayda Bir"
"Never","Hiç Bir Zaman"
"New Sitemap","Yeni Site Haritası"
"Path","Yol"
"Please create the specified folder ""%s"" before saving the sitemap.","Harita oluşturmadan önce ""%s"" klasörünü oluşturunuz."
"Please define correct path","Lütfen doğru klasörü belirtiniz"
"Please make sure that ""%s"" is writable by web-server.","""%s"" klasörünün web sunucusu tarafından yazılabilir olduğundan emin olunuz."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Dosya adlarında sadece harf (a-z or A-Z), rakam (0-9) veya alt çizgi (_) kullanınız. Boşluk veya başka karakterle kullanmayınız."
"Priority","Önem"
"Products Options","Ürün Özellikleri"
"Sitemap","Site Haritası"
"Sitemap generate Warnings","Site Haritası üretim hataları"
"Start Time","Başlama Tarihi"
"Store View","Mağaza Görünümü"
"The priority must be between 0 and 1.","Önem verisi 0 ile 1 arasında olmalıdır."
"The sitemap ""%s"" has been generated."," ""%s"" adlı site haritası oluşturuldu."
"The sitemap has been deleted.","Site haritası silindi."
"The sitemap has been saved.","Site haritası kaydedildi."
"This sitemap no longer exists.","Site haritası bulunamadı."
"Unable to find a sitemap to delete.","Silinecek site haritası bulunamadı."
"Unable to find a sitemap to generate.","Oluşturulacak site haritasına ulaşılamadı."
"Unable to generate the sitemap.","Site haritası oluşturulamıyor."
"Valid values range: from 0.0 to 1.0.","Geçerli aralık 0.0 ile 1.0 arasıdır."
"Weekly","Haftada Bir"
"Yearly","Yıllık"
