"--Please Select--","--தேர்ந்தெடுக்க--"
"API Login ID","API உள்நுழைவு அடையாளம்"
"Accepted Currency","நாணயம் ஏற்றுக் கொள்ளப்பட்டது"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net நேரடி போஸ்ட் "
"Card Verification Number","அட்டை சரிபார்ப்பு எண்"
"Card Verification Number Visual Reference","அட்டை சரிபார்க்கும் எண் பார்வை குறிப்பு"
"Close","மூடவும்"
"Credit Card Information","கடன் அட்டைபற்றிய  தகவல்"
"Credit Card Number","கடன் அட்டை எண்"
"Credit Card Type","கடன் அட்டை வகை"
"Credit Card Types","கடன் அட்டை வகைகள் "
"Credit Card Verification","கடன் அட்டை சரிபார்த்தல் "
"Debug","வழு நீக்கு"
"Email Customer","மின்னஞ்சல் வாடிக்கையாளர்"
"Enabled","இயலுமைப்படுத்து "
"Expiration Date","காலாவதி தேதி"
"Gateway URL","கேட்வே யுஆர்ல்"
"Maximum Order Total","மிக அதிகப்படியான மொத்த தொகை "
"Merchant MD5","மெர்சண்ட்  MD5"
"Merchant's Email","வணிகரின்  மின்னஞ்சல்"
"Minimum Order Total","மிக குறைவான மொத்த தொகை "
"New Order Status","புதிய ஆர்டரின் நிலை "
"Order saving error: %s","ஆர்டரை சேமிக்கும் பொழுது பிழை ஏற்ப்பட்டுள்ளது : %s"
"Payment Action","பணம் செலுத்துவதர்க்கான  அடுத்த அடி "
"Payment authorization error.","தங்களின் பண பரிவத்தனையில்பிழை ஏற்பட்டுள்ளது"
"Payment authorization error. Transacion id is empty.","தங்களின் பண பரிவத்தனையில்பிழை ஏற்பட்டுள்ளது, ஒப்பு சான்று பெற இயலவில்லை. பண பரிவத்தனை என்னும் காலியாக உள்ளது "
"Payment error. Order was not found.","பணம் செலுத்துவதில் சிக்கல் ஏற்பட்டுள்ளது . தங்களின் ஆர்டர் தகவலை பெற இயலவில்லை "
"Payment error. Paid amount doesn\'t match the order amount."," பண பரிவத்தனை பிழை.  நீங்கள் செலுத்திய பணம் உங்களின் ஆர்டர் தொகையுடன் ஒத்து போகவில்லை."
"Payment from Applicable Countries","குறிப்பிட்ட நாடுகளில் இருந்து பணம் பெருவதற்க்கு "
"Payment from Specific Countries","குறிப்பிட்ட நாடுகளில் இருந்து பணம் பெருவதற்க்கு "
"Please, choose payment method","தயவு செய்து கட்டண முறையை தேர்ந்தெடுக்கவும் "
"Response hash validation failed. Transaction declined.","பதில் புல சரிபார்த்தல் தோல்வியுற்றது. பரிவர்த்தனை மறுக்கப்பட்டது."
"Sort Order","வரிசை முறை "
"Test Mode","சோதனை முறை"
"The order has been created.","உங்கள் ஆர்டர் உறுதிப்படுத்தப்பட்டுள்ளது "
"There was an error processing your order. Please contact us or try again later.","உங்கள் ஆர்டரை செயல்படுத்துவதில் சிக்கல் ஏற்பட்டுள்ளது. எங்களை தொடர்பு கொள்ளவும் அல்லது சிறிது நேரம் கழித்து முயற்சிக்கவும் "
"Title","தலைப்பு"
"Transaction Key","பரிவர்த்தனைக்காண சாவி "
"What is this?","இது என்ன ?"
"You will be required to enter your payment details before you place an order.","நீங்கள் ஆர்டர் செய்யும் முன் நீங்கள் உங்கள் கட்டண விவரங்களை கொடுக்க வேண்டும்  "
