"Action","செயல்"
"Add Sitemap","தள வரைபடத்தை  சேர் "
"Always","எப்பொழுதும்"
"CMS Pages Options","CMS பக்கங்கள் விருப்பங்கள்"
"Categories Options","வகைகள் விருப்பங்கள்"
"Daily","தினசரி"
"Edit Sitemap","தள வரைபடத்தை  திருத்து "
"Enabled","இயலுமைப்படுத்து "
"Error Email Recipient","மின்னஞ்சல் பெறுநரில் பிழை "
"Error Email Sender","மின்னஞ்சல் அனுப்புநரில் பிழை "
"Error Email Template","மின்னஞ்சல் டெம்ப்ளேடில் பிழை "
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","கோப்பு ""%s"" சேமிக்க முடியாது. , ""%s"" வலை சர்வர் மூலம் எழுத இயலும் என்பதை உறுதிப்படுத்துக."
"Filename","கோப்பு"
"Frequency","எவ்வளவு முறை"
"Generate","உருவாக்க"
"Generation Settings","ஜெனரேஷன் அமைவுகள்"
"Google Sitemap","கூகிள் தள வரைபடம்"
"Hourly","மணிக்கு மணி நிகழ்கிற"
"ID","குறியீடு "
"Last Time Generated","கடைசியாக  உருவாக்கிய நேரம்"
"Link for Google","Google க்கான இணைப்பு"
"Monthly","மாதாந்தர"
"Never","என்றும், எப்பொழுதும் இல்லாத நிலையில்"
"New Sitemap","புதிய தள வரைபடம்"
"Path","பாதை"
"Please create the specified folder ""%s"" before saving the sitemap.","வரைபடம் சேமிக்கும் முன் குறிப்பிட்ட அடைவு ""%s"" உருவாக்கவும்."
"Please define correct path","சரியான பாதையை வரையறை செய்யவும்"
"Please make sure that ""%s"" is writable by web-server.","""%s"" வலை சர்வர் மூலம் எழுத என்று உறுதிப்படுத்தி கொள்ளுங்கள்."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","எழுத்துகள் (az அல்லது அ), எண்கள் (0-9) பயன்படுத்த அல்லது கோப்புப்பெயரில் (_) அடிக்கோடிட்டு செய்யவும். இடைவெளிகள் அல்லது மற்ற கதாபாத்திரங்கள் அனுமதிக்கப்படும்."
"Priority","முன்னுரிமை"
"Products Options","பொருட்கள் விருப்பங்கள்"
"Sitemap","தள வரைபடம்"
"Sitemap generate Warnings","தள வரைபடம் எச்சரிக்கைகள் உருவாக்க"
"Start Time","தொடக்க நேரம் "
"Store View","கடை பார்வை முறை "
"The priority must be between 0 and 1.","முன்னுரிமை 0 மற்றும் 1 இடையில் இருக்க வேண்டும்."
"The sitemap ""%s"" has been generated.","வரைபடம் ""% s"" உருவாக்கப்பட்டது."
"The sitemap has been deleted.","வரைபடம் நீக்கப்பட்டது."
"The sitemap has been saved.","வரைபடம் சேமிக்கப்பட்டது."
"This sitemap no longer exists.","இந்த வரைபடம் தற்போது இல்லை."
"Unable to find a sitemap to delete.","நீக்குவதற்கு ஒரு வரைபடம் கண்டுபிடிக்க முடியவில்லை."
"Unable to find a sitemap to generate.","உருவாக்குவதற்கு ஒரு தள வரைபடம் கண்டுபிடிக்க முடியவில்லை."
"Unable to generate the sitemap.","தள வரைபடம் உருவாக்க முடியவில்லை."
"Valid values range: from 0.0 to 1.0.","செல்லுபடியாகும் மதிப்புகள் வரை: 0.0 இருந்து 1.0."
"Weekly","வாரந்தோறும்"
"Yearly","ஆண்டிற்கொருமுறை"
