"Action","操作"
"An error occurred while creating the backup.","建立備份時發生錯誤。"
"An error occurred while writing to the backup file ""%s"".","寫入備份文件 ""%s"" 時發生一個錯誤。"
"Are you sure you want to delete the selected backup(s)?","你確定要刪除選定的備份（S）？"
"Backup Type","備份類型"
"Backup file ""%s"" cannot be read from or written to.","備份文件 ""%s"" 不能讀取或寫入。"
"Backup file ""%s"" does not exist.","備份文件 ""%s"" 不存在。"
"Backup file does not exist.","備份文件不存在。"
"Backup file handler was unspecified.","未指定備份文件的處理程式。"
"Backup file not found","備份文件沒有找到"
"Backup file path was not specified.","備份文件路徑未指定。"
"Backups","備份"
"Cannot read backup file.","無法讀取備份文件。"
"Create Backup","建立備份"
"Database Backup","數據庫備份"
"Database and Media Backup","備份數據庫和媒體"
"Database was successfuly backed up.","數據庫已成功備份。"
"Download","下載"
"Enable Scheduled Backup","啟用計劃備份"
"Failed to connect to FTP","無法連接到FTP"
"Failed to delete one or several backups.","刪除一個或多個備份失敗。"
"Failed to rollback","無法回滾"
"Failed to validate FTP","無法驗證FTP"
"Frequency","頻率"
"Invalid Password.","無效的密碼。"
"Maintenance Mode","維護模式"
"Name","名稱"
"Not enough free space to create backup.","沒有足夠的可用空間來建立備份。"
"Not enough permissions to create backup.","沒有足夠的權限來建立備份。"
"Not enough permissions to perform rollback","沒有足夠的權限來執行回滾"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","請或者取消選擇認沽店""，""維護模式""複選框，或更新您的權限進行備份。"""""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","請或者取消選擇認沽店""，""維護模式""複選框，或更新您的權限進行回滾""。"""""
"Put store on the maintenance mode while backup's creation","放在維護模式的商店，而備份的創造"
"Rollback","回滾"
"Scheduled Backup Settings","排定的備份設置"
"Size, Bytes","大小，位元組"
"Start Time","開始時間"
"System Backup","系統備份"
"System couldn't put store on the maintenance mode","系統無法放在店維修模式"
"The database and media backup has been created.","已建立的數據庫和媒體備份。"
"The database backup has been created.","已建立的數據庫備份。"
"The file was compressed with Zlib, but this extension is not installed on server.","該文件已使用Zlib壓縮，但伺服器上沒有安裝該擴展。"
"The selected backup(s) has been deleted.","選定的備份（S）已被刪除。"
"The system (excluding Media) backup has been created.","（不包括媒體）的系統備份已建立。"
"The system backup has been created.","已建立系統備份。"
"Time","時間"
"Type","類型"
"Unable to create backup. Please, try again later.","無法建立備份。請稍候重試。"
"Unable to save the cron expression.","無法保存cron表達式。"
"Wrong order of creation for new backup.","建立新備份的順序有誤。"
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","你沒有足夠的權限，以便在此操作過程中的維護模式。"
