"""Remember Me"" Default Value","""記住我""的預設值"
"(Not %s?)","（不是 %s ？）"
"* Required Fields","*必要欄位"
"Address","地址"
"Address Information","地址資訊"
"Already registered?","已註冊？"
"Back","返回"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","通過在我們的店舖中建立帳戶，您將能用更快速度結賬，保存多個送貨地址，並可在您的帳戶中查看並追蹤您的訂單，還有更多功能。"
"Cannot load configuration from file %s.","無法從文件 %s 載入配置"
"Checkout as Guest","作為來賓結賬"
"Checkout as a Guest or Register","以來賓身份結賬或註冊"
"City","城市"
"Clear Persistence on Log Out","註銷時清空選項"
"Close","關閉"
"Company","公司"
"Confirm Password","確認密碼"
"Continue","繼續"
"Country","國家"
"Create an Account","建立帳戶"
"Easy access to your order history and status","輕鬆訪問您的訂單歷史記錄和狀態"
"Email Address","編輯電子郵件地址"
"Enable ""Remember Me""","啟用""記住我"""
"Enable Persistence","啟用保留"
"Fast and easy check out","方便快捷的結賬"
"Fax","傳真"
"Forgot Your Password?","忘記您的密碼？"
"Forgot your password?","忘記您的密碼？"
"General Options","常規選項"
"If you have an account with us, please log in.","如果您擁有賬戶，請登錄。"
"Loading next step...","正在載入下一步..."
"Login","登錄"
"Login Information","登錄資訊"
"Login or Create an Account","登錄或建立帳戶"
"New Customers","新客戶"
"Password","密碼"
"Persist Shopping Cart","保留購物車"
"Persistence Lifetime (seconds)","保留壽命（秒）"
"Persistent Shopping Cart","保留購物車"
"Personal Information","個人資訊"
"Please log in below:","請在下面登錄："
"Please select region, state or province","請選擇地區、州，或省"
"Register","註冊"
"Register and save time!","註冊並節約時間！"
"Register to Create an Account","註冊以建立帳戶"
"Register with us for future convenience:","在這裡註冊以後可以更方便："
"Registered Customers","已註冊的客戶"
"Remember Me","記住我"
"Save in address book","保存到地址簿"
"Select State/Province...","選擇州/省..."
"Select a billing address from your address book or enter a new address.","從您的地址簿選擇賬單地址，或輸入新地址。"
"Ship to different address","送貨到不同地址"
"Ship to this address","送貨到這個地址"
"Shopping cart has been updated with appropriate prices","以適當的價格已更新購物車"
"Sign Up for Newsletter","訂閱新聞郵件"
"State/Province","州/省"
"Street Address","街道地址"
"Street Address %s","街道地址 %s"
"Submit","提交"
"Telephone","電話"
"To proceed to Checkout, please log in using your email address.","要進行結算，請使用您的電子郵件地址登錄。"
"VAT Number","增值稅號碼"
"Welcome, %s!","歡迎，%s！"
"What\'s this?","這是什麼？"
"Zip/Postal Code","郵政編碼"
